21349.226857000 prime-unplug
21351.373212000 plug 1
21357.464940000 unplug 1
21361.573892000 plug 2
21367.669317000 unplug 2
21371.773590000 plug 3
21377.890386000 unplug 3
21381.987655000 plug 4
21388.117526000 unplug 4
21392.215647000 plug 5
21398.319976000 unplug 5
21402.425305000 plug 6
21408.548705000 unplug 6
21412.660722000 plug 7
21418.784547000 unplug 7
21422.881556000 plug 8
21429.000334000 unplug 8
21433.105668000 plug 9
21439.253602000 unplug 9
21443.363599000 plug 10
21449.509617000 unplug 10
21453.625024000 plug 11
21459.751744000 unplug 11
21463.889747000 plug 12
21470.024271000 unplug 12
21474.151815000 plug 13
21480.284084000 unplug 13
21484.406011000 plug 14
21490.515267000 unplug 14
21494.620651000 plug 15
21500.749213000 unplug 15
21504.863285000 plug 16
21510.972000000 unplug 16
21515.122035000 plug 17
21521.285800000 unplug 17
21525.369470000 plug 18
21531.456019000 unplug 18
21535.560497000 plug 19
21541.699091000 unplug 19
21545.815102000 plug 20
21551.941146000 unplug 20
21556.047731000 plug 21
21562.179907000 unplug 21
21566.321212000 plug 22
21572.450096000 unplug 22
21576.560122000 plug 23
21582.655062000 unplug 23
21586.783401000 plug 24
21592.918362000 unplug 24
21597.053826000 plug 25
21603.198738000 unplug 25
21607.336823000 plug 26
21613.463787000 unplug 26
21617.590100000 plug 27
21623.679897000 unplug 27
21627.798034000 plug 28
21633.903249000 unplug 28
21638.023590000 plug 29
21644.132503000 unplug 29
21648.264776000 plug 30
21654.375473000 unplug 30
21658.464547000 plug 31
21664.574817000 unplug 31
21668.653939000 plug 32
21674.738409000 unplug 32
21678.844862000 plug 33
21684.934037000 unplug 33
21689.061698000 plug 34
21695.186026000 unplug 34
21699.303843000 plug 35
21705.505091000 unplug 35
21709.606586000 plug 36
21715.686668000 unplug 36
21719.805673000 plug 37
21725.957467000 unplug 37
21730.103004000 plug 38
21736.221629000 unplug 38
21740.329072000 plug 39
21746.437577000 unplug 39
21750.545667000 plug 40
21756.654686000 unplug 40
21760.760419000 plug 41
21766.879771000 unplug 41
21771.007709000 plug 42
21777.135898000 unplug 42
21781.254815000 plug 43
21787.466385000 unplug 43
21791.606772000 plug 44
21797.686011000 unplug 44
21801.776825000 plug 45
21807.885074000 unplug 45
21811.968203000 plug 46
21818.073156000 unplug 46
21822.160890000 plug 47
21828.268072000 unplug 47
21832.357190000 plug 48
21838.467708000 unplug 48
21842.558676000 plug 49
21848.634565000 unplug 49
21852.721246000 plug 50
21858.806504000 unplug 50
